"ownerPacket","total","modified","deleted","untracked","c2Priority","c2ReviewCandidate","c2SharedUtility","packetDecision","nextAction"
"V20-OGR-01-docs-generated-plan","52","2","0","50","0","0","0","docs-generated-owner-signoff-required","sign off generated docs/evidence as release evidence, or move non-ship evidence out of release scope"
"V20-OGR-02-delete-old-evidence-review-runtime","45","0","45","0","0","0","0","deletion-mutation-signoff-accepted-not-staged","accepted keep-deleted; stage only when explicit Git mutation permission is granted"
"V20-OGR-02-delete-old-provider-legacy-harness","71","0","71","0","0","0","0","deletion-mutation-signoff-accepted-not-staged","accepted keep-deleted; stage only when explicit Git mutation permission is granted"
"V20-OGR-02-delete-state-owner-review","27","0","27","0","0","0","0","deletion-mutation-signoff-accepted-not-staged","accepted keep-deleted; stage only when explicit Git mutation permission is granted"
"V20-OGR-03-delete-engine-builtin-tools-runtime","2","0","2","0","0","0","0","deletion-mutation-signoff-accepted-not-staged","accepted keep-deleted; stage only when explicit Git mutation permission is granted"
"V20-OGR-03-tool-permission-lifecycle","192","188","0","4","12","0","12","owner-signoff-ready-tool-permission-single-runtime","owner signoff against Tool Gate and Permission owner; reject hidden runner shortcuts"
"V20-OGR-04-delete-engine-mcp-client-runtime","1","0","1","0","0","0","0","deletion-mutation-signoff-accepted-not-staged","accepted keep-deleted; stage only when explicit Git mutation permission is granted"
"V20-OGR-04-mcp-skill-plugin-registry","141","138","0","3","11","0","11","owner-signoff-ready-mcp-skill-plugin-single-runtime","owner signoff against src/services/mcp, skills, plugins registry only"
"V20-OGR-05-agent-task-lifecycle","202","202","0","0","16","11","5","owner-signoff-ready-agent-task-single-orchestrator","owner signoff against AgentTool/Task lifecycle; reject simulator/runtime duplicates"
"V20-OGR-05-external-integration-adapter-boundary","32","30","0","2","0","0","0","owner-signoff-ready-external-adapter-boundary","owner signoff as adapter boundary; reject standalone host runtime"
"V20-OGR-06-ui-tui-visible-state","474","474","0","0","110","6","104","owner-signoff-ready-visible-state-projection","owner signoff as UI/TUI projection; reject direct tool/query/provider runtime"
"V20-OGR-07-provider-migration-model-cost","107","97","0","10","40","3","37","owner-signoff-ready-deepseek-provider-cost-boundary","owner signoff against DeepSeek adapter/router/cost evidence"
"V20-OGR-08-cli-command-transport","180","179","0","1","12","9","3","owner-signoff-required-cli-transport-entry-boundary","review CLI/transport as entry boundary only; no second query loop"
"V20-OGR-09-dsxu-engine-mainline","68","64","0","4","0","0","0","owner-signoff-required-dsxu-engine-mainline","review engine mainline composition and evidence terms"
"V20-OGR-10-entry-query-tool-composition","20","20","0","0","4","1","3","owner-signoff-required-entry-query-tool-composition","review entry/query/tool composition only; no fallback composition"
"V20-OGR-12-delete-duplicate-desktop-deeplink-helper","1","0","1","0","0","0","0","deletion-mutation-signoff-accepted-not-staged","accepted keep-deleted; stage only when explicit Git mutation permission is granted"
"V20-OGR-12-shared-platform-utilities","254","252","0","2","115","12","103","conditional-signoff-shared-utility-only-if-imported","retain only imported utilities; mark unused/product-specific helpers replace-delete"
