statusCode,path,exists,directImportCount,activeSrcImportCount,testImportCount,scriptImportCount,otherImportCount,decision,sampleImporters
"M","src/services/analytics/config.ts","yes","7","7","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/FeedbackSurvey/useFeedbackSurvey.tsx;src/components/FeedbackSurvey/useMemorySurvey.tsx;src/components/FeedbackSurvey/usePostCompactSurvey.tsx;src/main.tsx;src/services/analytics/datadog.ts;src/services/analytics/firstPartyEventLogger.ts;src/utils/api.ts"
"M","src/services/analytics/datadog.ts","yes","4","4","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/analytics/sink.ts;src/utils/computerUse/mcpServer.ts;src/utils/dsxuBrowserProvider/mcpServer.ts;src/utils/gracefulShutdown.ts"
"??","src/services/analytics/featureFlags.ts","yes","123","123","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/utils/model/providerMigration/providerMigrationBetas.ts;src/utils/model/providerMigration/providerMigrationEffort.ts;src/utils/model/providerMigration/providerMigrationUltraplanModel.ts;src/cli/print.ts;src/cli/print.ts;src/commands/brief.ts;src/commands/login/login.tsx;src/commands/logout/logout.tsx"
"M","src/services/analytics/firstPartyEventLogger.ts","yes","7","7","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/analytics/featureFlags.ts;src/components/Feedback.tsx;src/entrypoints/init.ts;src/services/analytics/sink.ts;src/utils/computerUse/mcpServer.ts;src/utils/dsxuBrowserProvider/mcpServer.ts;src/utils/gracefulShutdown.ts"
"M","src/services/analytics/firstPartyEventLoggingExporter.ts","yes","1","1","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/analytics/firstPartyEventLogger.ts"
"M","src/services/analytics/metadata.ts","yes","34","34","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/permissions/BashPermissionRequest/BashPermissionRequest.tsx;src/components/permissions/FallbackPermissionRequest.tsx;src/components/permissions/FilePermissionDialog/useFilePermissionDialog.ts;src/components/permissions/FilePermissionDialog/usePermissionHandler.ts;src/components/permissions/PowerShellPermissionRequest/PowerShellPermissionRequest.tsx;src/components/permissions/SkillPermissionRequest/SkillPermissionRequest.tsx;src/components/permissions/hooks.ts;src/components/permissions/useShellPermissionFeedback.ts"
"M","src/services/analytics/sink.ts","yes","4","4","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/main.tsx;src/utils/computerUse/mcpServer.ts;src/utils/dsxuBrowserProvider/mcpServer.ts;src/utils/sinks.ts"
"M","src/services/analytics/sinkKillswitch.ts","yes","2","2","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/analytics/firstPartyEventLogger.ts;src/services/analytics/sink.ts"
"M","src/services/autoDream/autoDream.ts","yes","2","2","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/query/stopHooks.ts;src/utils/backgroundHousekeeping.ts"
"M","src/services/autoDream/config.ts","yes","2","2","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/memory/MemoryFileSelector.tsx;src/services/autoDream/autoDream.ts"
"M","src/services/autoDream/consolidationLock.ts","yes","3","3","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/memory/MemoryFileSelector.tsx;src/services/autoDream/autoDream.ts;src/tasks/DreamTask/DreamTask.ts"
"M","src/services/autoDream/consolidationPrompt.ts","yes","1","1","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/autoDream/autoDream.ts"
"M","src/services/awaySummary.ts","yes","1","1","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/hooks/useAwaySummary.ts"
"M","src/services/compact/autoCompact.ts","yes","8","8","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/PromptInput/Notifications.tsx;src/components/TokenWarning.tsx;src/query.ts;src/query/deps.ts;src/services/SessionMemory/sessionMemory.ts;src/utils/analyzeContext.ts;src/utils/attachments.ts;src/utils/swarm/inProcessRunner.ts"
"M","src/services/compact/compact.ts","yes","9","9","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/commands/compact/compact.ts;src/components/messages/AssistantTextMessage.tsx;src/query.ts;src/screens/REPL.tsx;src/services/compact/autoCompact.ts;src/services/compact/sessionMemoryCompact.ts;src/types/command.ts;src/utils/processUserInput/processSlashCommand.tsx"
"M","src/services/compact/compactWarningHook.ts","yes","1","1","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/TokenWarning.tsx"
"M","src/services/compact/compactWarningState.ts","yes","3","3","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/commands/compact/compact.ts;src/services/compact/compactWarningHook.ts;src/services/compact/microCompact.ts"
"M","src/services/compact/grouping.ts","yes","1","1","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/compact/compact.ts"
"M","src/services/compact/microCompact.ts","yes","11","11","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/commands/compact/compact.ts;src/commands/context/context-noninteractive.ts;src/commands/context/context.tsx;src/query/deps.ts;src/screens/REPL.tsx;src/services/api/dsxuTransport.ts;src/services/compact/postCompactCleanup.ts;src/services/compact/sessionMemoryCompact.ts"
"M","src/services/compact/postCompactCleanup.ts","yes","3","3","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/commands/compact/compact.ts;src/screens/REPL.tsx;src/services/compact/autoCompact.ts"
"M","src/services/compact/sessionMemoryCompact.ts","yes","3","3","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/commands/compact/compact.ts;src/components/FeedbackSurvey/usePostCompactSurvey.tsx;src/services/compact/autoCompact.ts"
"M","src/services/compact/timeBasedMCConfig.ts","yes","1","1","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/services/compact/microCompact.ts"
"M","src/services/diagnosticTracking.ts","yes","9","9","0","0","0","KEEP_MAINLINE_IMPORTED_UTILITY","src/components/DiagnosticsDisplay.tsx;src/screens/REPL.tsx;src/services/lsp/LSPDiagnosticRegistry.ts;src/services/lsp/passiveFeedback.ts;src/tools/FileEditTool/FileEditTool.ts;src/tools/FileWriteTool/FileWriteTool.ts;src/utils/attachments.ts;src/utils/attachments.ts"
