"path","statusCode","evidenceClass","ownerPacket","decision"
"README.md","M","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"scripts/benchmark/dsxu-mainline-benchmark.ts","M","benchmark-evidence-not-release-runtime","V20-OGR-01-docs-generated-plan","BENCHMARK_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"CHANGELOG.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"CODE_OF_CONDUCT.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/CONFIGURATION.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/CONTRIBUTING.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/DOCTOR_HEALTH.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_100_POINT_ARCHITECTURE_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_ACL_RESIDUE_REVIEW_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_BATCH_CLOSURE_BOARD_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_C2_FULL_OWNER_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_CLOSURE_BOARD_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_COMMERCIAL_IP_BRAND_RELEASE_GATE_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_DELETION_MUTATION_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_DELETION_MUTATION_REVIEW_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_EXTERNAL_VISIBLE_STATE_OWNER_REVIEW_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_FALSE_COMPLETION_AUDIT_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_FULL_CODE_INTEGRATION_ASSESSMENT_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_MASTER_PLAN_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OGR02_DELETE_PACKET_SIGNOFF_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OGR12_REPLACE_DELETE_MUTATION_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OGR12_SHARED_UTILITY_IMPORT_USE_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_GAP_MATRIX_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_GIT_REVIEW_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_ADJUDICATION_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260515.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_UPDATE_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_P0_SOURCE_CLEANUP_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_P1_PRODUCT_SIGNAL_OWNER_CLEANUP_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_PRIORITY_OWNER_PACKET_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_REAL_OPERATION_TEST_ACCEPTANCE_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/DSXU_V20_RELEASE_SURFACE_OWNER_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
"docs/INSTALL.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/RELEASE_RUNBOOK.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/SECURITY_PERMISSION.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/TOOL_SURFACE.md","??","ship-open-source-doc","V20-OGR-01-docs-generated-plan","SHIP_DOC_PENDING_GIT_SIGNOFF"
"docs/generated/","??","release-excluded-source-truth-evidence","V20-OGR-01-docs-generated-plan","SOURCE_TRUTH_EVIDENCE_RELEASE_EXCLUDED_PENDING_GIT_SIGNOFF"
