"claudePath","c2Action","c2OwnerFamily","primarySignal","targetOwnerPacket","executionDecision","signoffState"
"assistant/sessionHistory.ts","adapt_or_exclude_product_specific","model_cost_context","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bootstrap/state.ts","adapt_or_exclude_product_specific","unclassified_support","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeApi.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeConfig.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-05-agent-task-lifecycle","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeDebug.ts","absorb_into_dsxu_mainline","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","absorb-into-named-dsxu-owner","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeEnabled.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeMain.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeMessaging.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgePermissionCallbacks.ts","absorb_into_dsxu_mainline","permission_gate","permission_safety","V20-OGR-06-ui-tui-visible-state","absorb-into-named-dsxu-owner","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgePointer.ts","absorb_into_dsxu_mainline","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","absorb-into-named-dsxu-owner","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeStatusUtil.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/bridgeUI.ts","absorb_into_dsxu_mainline","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","absorb-into-named-dsxu-owner","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/capacityWake.ts","absorb_into_dsxu_mainline","mcp_skill_plugin","memory_context","V20-OGR-05-agent-task-lifecycle","absorb-into-named-dsxu-owner","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/codeSessionApi.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
"bridge/createSession.ts","adapt_or_exclude_product_specific","mcp_skill_plugin","coding_workflow","V20-OGR-06-ui-tui-visible-state","adapt-provider-neutral-or-exclude-product-specific","C2_MAPPED_PENDING_OWNER_GIT_SIGNOFF"
